"","simulation","distance","radius","error","tpvalue","sensitivity","specificity","accuracy","model","sill","range","sderror","stand"
"19866",87,90,10,0.9067103,1.698792e-135,1,1,1,3,0.1984379,43.91587,1.626396e-05,"stand3"
"19867",87,90,12.5,0.7790507,3.409215e-93,1,1,1,4,0.2442547,15.28301,0.0001782014,"stand3"
"19868",87,90,15,0.685761,1.268799e-68,1,1,1,7,0.1974727,18.42888,4.805549e-05,"stand3"
"19869",87,90,17.5,0.3747954,9.107951e-19,1,1,1,7,0.2488879,22.64042,0.0003826706,"stand3"
"19870",87,90,20,0.5188216,1.182735e-36,1,1,1,7,0.2289789,30.72185,6.319245e-05,"stand3"
"19871",87,95,10,0.4238953,5.15944e-24,1,1,1,2,0.01363711,114.5601,1.771174e-06,"stand3"
"19872",87,95,12.5,0.5859247,7.462136e-48,1,1,1,7,0.2418349,11.1648,0.0002803932,"stand3"
"19873",87,95,15,0.3797054,2.959041e-19,1,1,1,7,1.782841,1421.691,3.551784e-05,"stand3"
"19874",87,95,17.5,0.4860884,6.743722e-32,1,1,1,3,0.2607318,73.32308,0.0007917529,"stand3"
"19875",87,95,20,0.4746318,2.463323e-30,1,1,1,7,0.1281812,12.70744,0.000141004,"stand3"
"19876",87,100,10,-1.397709,1.767997e-261,1,1,1,7,0.1617994,62.67122,1.732862e-05,"stand3"
"19877",87,100,12.5,-0.314239,4.531921e-12,1,1,1,3,0.08034393,18.47693,3.145669e-06,"stand3"
"19878",87,100,15,0.9214403,6.383408e-141,1,1,1,7,0.2241337,15.05117,0.0001578919,"stand3"
"19879",87,100,17.5,0.6481178,3.623433e-60,1,1,1,7,0.2448495,16.99449,0.0003345756,"stand3"
"19880",87,100,20,0.9099836,1.07498e-136,1,1,1,3,0.1920258,29.40151,7.976657e-05,"stand3"
"19881",88,20,10,0.03436989,0.4403421,1,1,1,7,0.2118808,18.36217,9.603931e-05,"stand3"
"19882",88,20,12.5,0.03273322,0.4624896,1,1,1,7,0.2297474,18.31869,0.0006233391,"stand3"
"19883",88,20,15,0.04909984,0.2696173,1,1,1,7,0.2243096,17.44079,0.0007355731,"stand3"
"19884",88,20,17.5,0.01145663,0.7974557,1,1,1,7,0.2264345,18.41053,0.001335334,"stand3"
"19885",88,20,20,0.001636661,0.97078,1,1,1,7,0.2242903,17.45391,0.002134066,"stand3"
"19886",88,25,10,0.03109656,0.4852374,1,1,1,4,0.2252199,14.45914,0.000306782,"stand3"
"19887",88,25,12.5,0.04746318,0.2859866,1,1,1,3,0.2230228,39.85887,0.0005294999,"stand3"
"19888",88,25,15,-0.06546645,0.1450657,1,1,1,7,0.2251216,16.81212,0.0005962965,"stand3"
"19889",88,25,17.5,0.003273322,0.9415905,1,1,1,7,0.2292931,16.57923,0.001084028,"stand3"
"19890",88,25,20,0.02454992,0.5818897,1,1,1,7,0.2213789,17.56109,0.001395452,"stand3"
"19891",88,30,10,-0.1227496,0.006491565,1,1,1,7,0.2292518,16.95241,0.0006239272,"stand3"
"19892",88,30,12.5,0.1538462,0.000462497,1,1,1,3,0.2120055,34.21712,0.0004839083,"stand3"
"19893",88,30,15,0.07201309,0.1045801,1,1,1,7,0.2196759,15.53829,0.0007681917,"stand3"
"19894",88,30,17.5,-0.05564648,0.2151554,1,1,1,7,0.2267182,18.56701,0.0009742278,"stand3"
"19895",88,30,20,-0.0212766,0.6346169,1,1,1,7,0.2303314,18.23818,0.001658169,"stand3"
"19896",88,35,10,0.1734861,7.526406e-05,1,1,1,4,0.2172825,15.84755,0.0005914913,"stand3"
"19897",88,35,12.5,0.1047463,0.0178098,1,1,1,4,0.2261692,14.48918,0.001091656,"stand3"
"19898",88,35,15,0.193126,9.902625e-06,1,1,1,7,0.2016548,13.6474,0.0006575351,"stand3"
"19899",88,35,17.5,0.106383,0.01608254,1,1,1,7,0.2155209,19.78056,0.00113382,"stand3"
"19900",88,35,20,0.08837971,0.0459844,1,1,1,7,0.2125314,18.12418,0.0009913785,"stand3"
"19901",88,40,10,-0.01472995,0.7420082,1,1,1,7,0.223104,23.8409,4.231973e-05,"stand3"
"19902",88,40,12.5,0.08510638,0.05474191,1,1,1,7,0.2140056,17.40682,0.0001666068,"stand3"
"19903",88,40,15,0.1162029,0.008480683,1,1,1,7,0.2192533,14.19019,0.0002992861,"stand3"
"19904",88,40,17.5,-0.05237316,0.2432539,1,1,1,7,0.235028,20.48929,0.0005289047,"stand3"
"19905",88,40,20,0.1145663,0.009466745,1,1,1,7,0.2314361,18.10791,0.0002954996,"stand3"
"19906",88,45,10,0.5417349,2.989371e-40,1,1,1,7,0.1376394,25.669,8.4238e-05,"stand3"
"19907",88,45,12.5,0.7201309,4.678165e-77,1,1,1,7,0.1922618,10.77064,0.0002063891,"stand3"
"19908",88,45,15,0.07364975,0.09686879,1,1,1,7,0.2337544,18.80573,0.000313767,"stand3"
"19909",88,45,17.5,0.1276596,0.0037809,1,1,1,7,0.2368807,15.84316,0.001187686,"stand3"
"19910",88,45,20,0.1456628,0.0009269587,1,1,1,7,0.2298068,14.97596,0.001628563,"stand3"
"19911",88,50,10,-0.03600655,0.4218175,1,1,1,4,0.217274,13.27373,2.34056e-05,"stand3"
"19912",88,50,12.5,0.4304419,8.913653e-25,1,1,1,3,0.2297554,34.77957,4.238372e-05,"stand3"
"19913",88,50,15,0.4140753,6.729754e-23,1,1,1,7,0.2457054,17.58633,0.0006017297,"stand3"
"19914",88,50,17.5,0.3617021,1.672239e-17,1,1,1,7,0.2325072,15.39398,0.0003282084,"stand3"
"19915",88,50,20,0.2045827,2.742952e-06,1,1,1,7,0.2178629,16.72253,0.0006002062,"stand3"
"19916",88,55,10,-0.1522095,0.0007528593,1,1,1,7,0.1483519,35.48234,2.433592e-05,"stand3"
"19917",88,55,12.5,0.1243863,0.004794996,1,1,1,4,0.2623904,11.41361,0.0003837708,"stand3"
